	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b1307	3	3	3	5	5	3	6	1	3
b1308	17	18	11	11	19	11	15	12	19
b1309	3	1	0	4	0	3	3	1	2
b1310	0	5	2	0	0	1	1	0	0
b1311	0	2	0	1	1	0	4	0	0
b1312	2	1	3	2	0	1	1	1	0
b1313	1	1	1	0	1	5	2	0	2
b1314	3	3	1	2	3	2	0	1	4
b1315	3	0	2	2	3	6	3	0	2
b1316	2	7	2	5	5	2	6	5	1
b1317	0	1	0	3	0	0	1	2	0
b1319	2	1	1	1	1	3	1	2	2
b1320	8	15	13	11	22	11	6	6	9
b1321	12	13	8	12	16	18	14	9	17
b1322	5	7	7	13	6	17	8	9	6
b1323	112	135	117	143	153	168	138	81	121
b1324	395	527	654	1188	1136	1147	1354	294	960
b1325	30	38	25	39	41	33	22	26	32
b1326	48	55	67	88	81	60	40	59	51
b1327	10	22	15	17	22	18	22	8	9
b1328	13	15	13	20	35	18	21	15	11
b1329	75	82	50	109	97	88	73	47	70
b1330	21	33	31	25	33	16	37	17	27
b1331	85	83	106	81	97	110	105	64	95
b1332	89	53	82	112	105	87	156	47	103
b1333	402	327	325	426	385	301	479	297	309
b1334	277	329	353	341	373	306	452	214	387
b1335	8	14	11	19	25	28	25	24	22
b1336	6	3	3	6	6	6	4	1	0
b1337	5	9	4	4	7	9	4	6	6
b1338	1	4	2	4	3	1	3	4	1
b1339	5	9	4	7	6	6	5	3	5
b1340	23	20	22	20	26	22	23	22	29
b1341	140	150	133	81	153	70	77	101	88
b1342	25	32	40	36	44	32	31	23	35
b1343	30	36	31	26	18	18	20	34	24
b1344	24	53	40	51	57	61	44	34	54
b1345	6	16	15	11	20	13	19	8	8
b1346	1	1	0	0	0	0	1	0	0
b1347	0	0	1	0	0	1	2	1	0
b1348	0	1	0	0	0	1	0	1	0
b1349	2	1	2	6	7	14	10	4	3
b1350	13	15	8	11	12	17	9	11	9
b1351	0	3	0	0	1	1	2	0	1
b1352	0	1	0	0	0	0	0	0	0
b1353	2	3	1	2	2	2	5	2	1
b1355	0	0	1	0	0	0	0	1	1
b1356	33	36	40	72	80	75	84	35	51
b1357	0	2	1	6	7	2	4	0	1
b1358	3	2	5	2	7	1	2	0	3
b1359	3	4	3	3	3	5	3	1	8
b1360	0	2	4	4	5	2	1	4	4
b1361	0	4	1	7	3	3	7	5	3
b1362	2	1	2	0	3	3	2	3	2
b1363	16	15	22	8	18	25	34	6	19
b1365	1	1	0	0	0	0	2	0	1
b1366	0	0	4	1	1	0	1	0	0
b1368	4	6	4	14	3	5	7	4	4
b1370	8	5	5	6	4	5	3	3	3
b1372	7	7	11	16	21	16	12	11	7
b1373	1	0	0	1	3	1	1	1	1
b1374	8	5	6	8	12	7	8	5	5
b1375	2	0	1	5	3	1	9	1	2
b1376	68	78	54	48	67	25	47	60	48
b1377	0	2	3	1	3	4	4	4	3
b1378	80	116	87	66	95	53	89	66	91
b1379	69	56	50	23	38	40	48	49	25
b1380	33	42	38	57	76	63	131	33	49
b1381	26	30	31	36	35	31	46	22	31
b1382	5	4	3	11	7	5	6	1	3
b1383	9	11	6	9	4	3	10	3	12
b1384	9	9	8	27	16	27	19	8	13
b1385	15	23	17	41	31	27	24	20	22
b1386	3	9	8	12	6	10	15	7	11
b1387	0	2	3	6	5	5	3	2	0
b1388	0	2	2	2	1	5	3	0	1
b1389	0	0	0	1	1	0	0	2	0
b1390	0	2	1	1	2	1	2	0	1
b1391	1	1	0	2	1	0	2	1	1
b1392	1	5	2	5	0	4	2	2	0
b1393	0	3	0	0	1	4	3	1	1
b1394	0	3	1	1	0	1	1	0	0
b1395	1	1	1	9	0	1	4	4	1
b1396	1	0	4	0	0	1	0	2	1
b1397	10	11	4	4	7	8	6	8	10
b1398	7	9	6	8	7	6	10	6	13
b1399	21	14	18	34	11	23	15	9	19
b1400	16	27	20	17	20	13	20	17	19
b1402	8	14	16	17	23	18	7	12	17
b1403	16	13	16	13	13	11	9	9	11
b1404	9	8	11	13	8	8	10	7	9
b1406	33	41	28	35	41	34	30	28	27
b1407	6	14	5	12	9	5	10	2	5
b1408	0	0	0	0	0	0	0	1	1
b1409	0	3	0	2	0	1	1	0	0
b1410	4	5	6	2	2	6	6	10	4
b1411	5	3	5	8	8	6	4	6	10
b1412	27	24	45	45	38	63	64	19	48
b1413	99	127	136	112	148	144	121	68	141
b1414	56	71	66	95	86	80	93	77	68
b1415	93	107	207	250	152	153	122	62	187
b1418	60	57	64	124	94	100	84	28	82
b1419	8	6	12	15	14	13	7	1	13
b1420	4	2	4	1	4	1	1	4	7
b1421	16	10	12	16	11	6	6	10	8
b1422	118	102	120	69	106	66	74	65	91
b1423	7	17	14	19	10	17	13	18	13
b1424	77	83	81	119	132	119	76	50	99
b1426	14	9	14	10	23	10	22	8	8
b1427	38	33	30	52	60	36	69	43	37
b1428	39	64	43	59	54	48	61	32	44
b1429	18	29	10	34	27	38	36	16	32
b1430	41	46	56	86	117	112	194	52	82
b1431	266	260	239	353	297	262	404	275	202
b1432	77	69	57	93	62	66	65	81	60
b1433	15	11	11	24	5	9	7	13	17
b1434	7	11	4	9	8	9	9	2	11
b1435	42	57	70	50	60	62	36	28	52
b1436	1	4	1	2	1	1	3	1	4
b1438	23	18	15	20	21	17	31	10	15
b1439	0	1	0	33	26	29	20	18	30
b1440	23	38	41	19	20	19	12	27	29
b1441	6	14	13	10	7	2	5	5	2
b1442	5	6	7	4	7	6	9	6	6
b1443	2	6	3	2	2	4	2	3	5
b1444	33	26	35	20	30	25	20	21	17
b1445	4	10	3	6	8	3	8	3	3
b1446	53	53	57	55	80	57	60	47	62
b1447	22	18	19	40	32	47	43	23	26
b1448	40	40	38	124	107	159	126	35	63
b1449	84	92	91	55	57	51	48	78	82
b1450	33	35	22	17	24	21	22	21	16
b1451	40	37	43	34	46	31	37	23	47
b1452	1181	1203	1778	2737	2928	2856	2076	678	2002
b1453	10	10	9	10	19	9	11	8	10
b1454	22	25	10	19	26	15	34	18	8
b1455	0	1	0	0	0	0	0	0	0
b1456	2	3	2	2	1	3	5	1	5
b1457	1	0	0	0	0	1	1	0	2
b1459	2	1	3	0	1	0	1	1	1
b1460	5	2	3	2	1	6	5	1	0
b1461	28	25	21	32	50	47	49	18	28
b1462	16	22	24	29	34	26	23	20	10
b1463	16	12	19	21	30	31	28	13	20
b1464	44	48	48	60	54	50	49	32	36
b1465	6	3	2	1	2	5	8	3	1
b1466	7	4	5	1	0	1	1	1	1
b1467	10	11	14	6	9	6	6	11	7
b1468	32	23	22	15	16	20	20	18	11
b1469	14	9	12	6	10	11	17	9	12
b1470	1	1	0	0	1	0	1	1	0
b1471	0	0	0	0	0	1	1	2	0
b1472	0	0	0	0	0	0	1	0	0
b1473	10	16	12	27	22	26	28	5	18
b1474	2	6	1	2	7	5	7	4	3
b1475	0	3	1	1	4	1	0	0	0
b1476	2	4	0	2	4	4	3	0	4
b1477	23	16	13	25	17	17	15	8	11
b1478	343	334	303	263	178	169	187	243	220
b1479	191	205	201	199	190	142	138	124	203
b1480	791	813	497	777	580	484	848	786	392
b1481	43	32	27	11	11	8	18	17	16
b1482	753	789	601	827	644	517	634	575	509
b1483	44	40	24	34	41	35	31	34	32
b1484	4	3	7	5	1	1	3	1	3
b1485	1	6	2	5	1	1	0	0	3
b1486	3	2	3	3	1	2	2	3	1
b1487	7	12	6	12	15	14	11	8	11
b1488	3	6	2	5	1	1	1	1	3
b1489	63	63	57	36	57	47	42	52	54
b1490	108	108	84	101	138	119	119	83	87
b1491	29	27	20	30	31	34	26	21	33
b1492	235	320	317	72	155	106	61	70	135
b1493	229	352	315	52	133	97	36	69	141
b1494	26	48	60	28	82	59	82	23	78
b1495	37	62	68	38	78	50	70	27	74
b1496	13	22	19	26	49	39	57	10	39
b1497	0	0	0	0	1	1	2	2	3
b1498	7	12	4	9	7	8	6	5	3
b1499	1	1	3	6	4	3	4	2	2
b1500	0	1	0	0	0	2	0	0	0
b1501	9	25	19	16	18	24	20	10	16
b1502	0	2	0	1	2	1	3	1	0
b1503	2	1	3	2	0	0	0	1	0
b1504	1	2	1	1	3	1	4	3	2
b1505	1	2	1	0	3	6	4	2	2
b1506	0	0	0	0	0	1	1	0	0
b1507	32	41	34	49	55	33	39	30	27
b1508	6	15	7	12	14	11	13	9	6
b1511	19	15	10	18	17	23	17	11	18
b1512	8	15	14	9	20	13	15	11	13
b1513	5	2	3	3	2	4	6	2	3
b1514	2	2	3	4	3	3	3	1	3
b1515	1	2	3	4	2	1	2	2	1
b1516	8	9	2	4	8	9	4	1	4
b1517	12	10	7	3	8	11	5	3	9
b1518	4	9	1	4	5	1	2	1	4
b1519	45	49	43	43	57	27	30	25	36
b1520	31	51	23	39	51	45	51	32	33
b1521	9	18	14	92	18	26	12	13	7
b1522	2	5	8	6	8	7	10	1	7
b1523	4	7	14	16	11	11	15	8	13
b1524	20	23	19	29	28	27	31	12	30
b1525	19	22	31	29	30	29	16	19	20
b1526	8	15	14	11	17	17	9	9	15
b1527	2	3	1	1	3	1	2	3	0
b1528	28	19	14	34	23	32	33	12	32
b1529	38	25	35	31	32	35	28	19	31
b1530	9	8	12	9	11	5	9	4	9
b1531	9	16	14	15	20	14	21	10	7
b1532	12	7	10	11	6	11	16	9	9
b1533	53	38	42	97	55	73	61	28	48
b1534	14	22	16	44	39	39	42	23	21
b1535	24	15	13	9	20	17	21	14	12
b1536	54	43	27	30	27	10	20	31	19
b1537	16	29	19	14	19	22	31	12	16
b1538	159	160	208	163	206	187	164	123	220
b1539	143	166	155	138	147	170	153	104	174
b1540	29	43	36	28	39	40	60	24	41
b1541	3	2	4	2	0	4	3	1	0
b1542	8	9	4	12	11	15	18	4	10
b1544	0	0	0	0	0	1	4	1	0
b1545	4	5	3	3	5	1	3	5	2
b1546	2	4	2	2	4	3	3	1	2
b1547	0	4	0	1	7	3	1	2	0
b1548	1	3	1	3	2	0	1	0	1
b1549	1	0	1	1	2	0	1	0	2
b1550	37	41	36	134	110	105	136	37	43
b1551	0	1	0	0	0	0	0	1	0
b1552	1	1	0	2	0	0	2	1	1
b1553	0	0	1	1	1	0	0	0	0
b1554	3	1	3	1	2	0	4	0	1
b1555	2	2	0	1	2	1	4	2	0
b1556	0	1	0	0	0	0	1	0	1
b1557	4	1	3	0	3	7	4	0	6
b1558	4	1	4	2	2	8	1	1	2
b1559	5	13	3	7	5	6	11	1	6
b1560	1	3	1	2	0	2	3	2	0
b1561	0	3	2	1	3	1	2	3	2
b1562	26	28	25	37	51	26	43	30	31
b1563	65	66	67	95	114	83	142	79	68
b1564	59	66	48	90	88	81	116	78	77
b1565	4	4	2	9	11	11	4	3	4
b1566	4	4	1	6	4	4	11	3	6
b1567	2	1	1	0	1	0	1	0	0
b1568	1	1	1	1	0	0	1	0	1
b1569	0	1	0	0	0	1	1	2	0
b1570	44	35	37	76	75	60	78	36	49
b1571	0	0	1	1	1	0	1	3	2
b1572	1	0	0	0	1	0	2	0	2
b1573	1	2	3	5	4	1	4	1	1
b1574	0	0	0	0	0	0	1	0	0
b1575	0	0	0	0	0	1	1	0	0
b1576	0	1	0	0	2	1	1	0	0
b1577	0	2	0	4	3	2	4	0	3
b1578	10	12	11	7	9	3	4	5	8
b1579	6	7	2	11	5	6	7	3	2
b1580	6	11	8	100	53	72	40	14	19
b1581	6	10	7	89	44	49	24	11	5
b1582	5	6	4	5	9	2	4	2	6
b1583	64	85	69	67	93	73	68	51	86
b1584	59	69	66	82	108	71	105	57	85
b1585	46	48	40	77	75	61	51	30	46
b1586	13	15	15	14	18	9	14	9	14
b1587	7	7	5	10	12	13	9	6	12
b1588	3	14	6	4	14	11	8	10	4
b1589	1	1	0	4	1	2	2	1	0
b1590	5	4	9	14	10	6	17	5	9
b1591	12	7	12	15	22	12	14	5	12
b1592	2	7	5	4	3	7	3	7	6
b1593	6	9	14	9	10	15	7	3	9
b1594	24	30	41	37	45	34	43	16	33
b1595	7	5	8	7	9	6	11	2	11
b1596	27	30	28	25	41	27	45	17	22
b1597	3	8	6	2	6	3	5	7	5
b1598	38	26	40	34	56	45	41	21	38
b1599	4	5	2	1	3	0	1	1	2
b1600	1	0	1	0	1	0	2	1	3
b1601	8	17	11	14	11	8	8	6	6
b1602	544	447	764	441	589	455	270	239	487
b1603	834	774	1174	719	912	797	404	363	636
b1604	169	151	185	177	212	214	225	148	198
b1605	14	13	10	16	11	12	9	10	11
b1606	27	24	39	41	28	43	37	21	27
b1607	16	15	22	27	17	37	47	10	32
b1608	123	108	74	134	100	97	64	79	63
b1609	83	80	62	115	67	62	47	47	51
b1610	18	18	22	14	18	16	16	10	22
b1611	56	31	47	44	30	31	43	39	34
b1612	58	60	66	68	68	62	44	51	72
b1613	104	101	105	106	152	101	139	95	128
b1614	566	470	533	572	546	447	538	311	461
b1615	1	5	2	6	4	2	3	0	0
b1616	2	0	2	0	1	2	3	1	2
b1617	7	0	3	2	6	8	4	4	2
b1618	26	27	18	29	23	19	31	24	19
b1619	266	336	248	215	302	228	276	201	191
b1620	4	10	7	14	13	16	9	4	10
b1621	12	15	13	29	26	14	20	11	16
b1622	24	20	39	29	34	23	20	19	29
b1623	59	60	49	50	52	50	54	43	42
b1624	158	139	155	242	185	214	156	96	148
b1625	5	2	12	11	12	19	15	7	10
b1626	26	25	20	42	32	38	46	17	25
b1627	28	22	33	42	24	26	39	19	33
b1628	14	24	32	19	30	21	19	12	14
b1629	33	50	56	46	56	44	30	20	52
b1630	19	18	21	22	38	30	20	15	21
b1631	7	13	17	22	18	12	16	7	13
b1632	16	17	20	19	21	20	15	13	24
b1633	14	27	17	30	18	24	19	14	15
b1634	12	14	10	13	27	23	23	10	11
b1635	167	161	163	358	205	251	333	167	150
b1636	42	46	46	41	29	46	48	31	56
b1637	293	318	347	520	475	408	420	185	360
b1638	44	83	71	99	105	103	80	67	91
b1639	10	11	11	15	13	5	10	11	6
b1640	34	29	26	32	44	40	30	19	42
b1641	447	403	409	327	451	308	424	288	352
b1642	133	123	112	146	139	134	161	100	143
b1643	6	5	5	5	11	8	15	3	9
b1644	6	7	10	6	9	5	4	5	9
b1645	25	24	13	20	15	14	17	17	15
b1646	80	61	66	33	32	32	25	46	42
b1647	72	74	79	52	58	68	52	55	69
b1648	10	9	11	11	13	2	8	7	6
b1649	12	2	7	7	10	7	14	7	13
b1650	43	45	53	40	53	38	30	30	42
b1651	84	90	102	97	140	102	94	72	106
b1652	19	19	24	21	18	22	19	13	21
b1653	18	28	17	25	17	23	25	27	17
b1654	64	73	84	79	78	61	85	54	74
b1655	29	34	43	32	40	31	26	25	30
b1656	8	9	10	14	15	12	11	6	2
b1657	23	15	15	26	19	24	25	23	18
b1658	92	145	155	178	188	166	160	108	193
b1659	19	16	19	15	19	18	18	18	21
b1660	5	12	5	4	8	9	5	6	4
b1661	808	810	691	973	844	712	1134	814	718
b1662	82	76	100	115	157	125	124	60	131
b1663	33	39	30	58	70	71	73	28	58
b1664	154	162	166	109	166	115	123	99	158
b1665	1	3	4	1	4	0	1	4	3
b1666	1	0	2	0	0	1	1	0	0
b1667	93	131	113	174	170	170	252	114	140
b1668	138	156	112	131	120	80	131	117	100
b1669	13	14	11	5	14	13	10	10	4
b1670	5	4	3	6	3	4	12	4	2
b1671	3	2	2	3	5	3	6	1	1
b1672	5	3	1	3	5	5	4	0	2
b1673	6	7	2	5	3	6	1	6	0
b1674	0	1	2	0	0	0	4	1	0
b1675	26	21	12	16	24	19	24	8	16
b1676	988	989	1076	1273	1424	1037	1470	1002	1080
b1677	8272	6244	6238	6435	6904	5095	7040	4364	6089
b1678	240	208	185	129	173	118	177	171	181
b1679	35	51	67	67	120	74	85	50	81
b1680	189	207	182	238	315	225	228	166	267
b1681	228	262	243	371	397	363	308	198	382
b1682	143	150	135	242	270	222	188	114	234
b1683	359	408	425	653	762	705	658	337	643
b1684	149	180	170	304	276	274	288	148	235
b1685	111	88	64	152	92	104	195	118	84
b1686	20	25	20	29	35	25	29	10	22
b1687	113	159	188	243	209	213	123	110	145
b1688	9	13	26	36	19	36	39	15	28
b1689	0	1	2	2	1	1	0	1	1
b1690	0	2	0	2	2	1	1	2	3
b1691	0	5	0	0	1	1	4	0	1
b1692	6	6	10	18	19	18	11	6	7
b1693	38	42	73	114	132	116	66	31	67
b1694	2	9	4	1	3	3	7	3	3
b1695	0	8	2	2	4	0	2	0	3
b1696	11	20	16	20	12	9	18	13	13
b1697	1	3	3	1	4	3	2	1	0
b1698	3	2	5	5	2	4	3	4	5
b1699	1	3	2	0	0	0	6	1	4
b1700	1	1	2	2	1	0	1	0	2
b1701	0	8	2	5	11	9	13	6	3
b1702	238	211	187	185	377	361	246	217	310
b1703	56	65	61	56	70	56	65	52	47
b1704	84	69	81	179	142	145	168	98	144
b1705	16	14	17	29	26	20	23	13	29
b1706	88	107	92	175	126	158	135	84	157
b1707	11	14	17	17	17	17	23	9	15
b1708	59	73	62	91	83	92	67	44	59
b1709	49	83	87	45	60	42	47	58	52
b1710	160	159	136	172	129	117	140	148	105
b1711	10	6	14	20	20	10	12	7	19
b1712	458	441	478	737	575	528	587	353	504
b1713	694	939	1076	1919	1581	1560	1385	709	1420
b1714	202	270	303	699	453	586	379	229	425
b1715	5	8	9	23	11	16	20	6	8
b1716	906	1021	1092	1436	1369	1248	1452	735	1334
b1717	755	784	866	1192	1169	1074	1299	663	1240
b1718	1369	1502	1682	1932	2175	1809	2139	1038	2080
b1719	893	1006	1442	1181	1160	1062	1039	601	1155
b1722	14	13	18	16	8	18	12	7	12
b1723	101	128	147	102	108	129	49	46	93
b1724	110	123	97	119	129	75	119	95	88
b1725	158	145	151	143	163	95	175	132	117
b1726	51	48	29	71	55	51	77	44	35
b1727	29	33	38	36	48	38	32	25	40
b1728	0	1	2	4	1	3	0	3	0
b1729	83	180	148	111	409	286	273	119	337
b1730	1	4	9	3	4	6	3	4	5
b1731	5	4	8	4	4	4	13	3	2
b1732	409	494	421	312	330	275	305	343	275
b1733	12	11	5	14	10	21	14	10	10
b1734	6	7	3	10	7	6	9	8	10
b1735	7	12	8	15	16	11	16	11	12
b1736	5	1	6	3	8	4	4	5	3
b1737	2	6	6	6	7	2	5	6	4
b1738	4	13	6	18	19	14	17	9	11
b1739	424	450	466	349	456	258	358	269	397
b1740	241	251	284	372	373	382	266	161	277
b1741	8	11	7	14	11	20	19	12	12
b1742	0	2	2	4	0	2	0	3	1
b1743	53	38	27	22	16	12	17	41	15
b1744	2	3	4	5	3	1	6	2	2
b1745	8	2	10	5	4	1	5	5	2
b1746	2	6	1	2	0	4	1	1	6
b1747	3	4	5	1	1	4	2	1	6
b1748	16	18	9	19	9	8	7	17	12
b1749	52	46	37	58	54	55	37	31	50
b1750	6	6	3	9	6	2	5	3	9
b1751	5	7	0	6	4	1	7	2	2
b1752	4	3	9	7	5	8	11	6	6
b1753	6	7	6	8	6	9	8	3	4
b1754	15	10	8	15	10	17	4	5	8
b1755	4	6	4	7	4	8	2	2	6
b1756	10	5	4	6	8	11	11	6	7
b1757	16	11	9	21	12	15	6	3	16
b1758	10	5	6	2	5	14	8	10	4
b1759	12	7	10	18	7	14	18	9	11
b1760	13	14	9	7	10	2	9	3	6
b1761	5080	2487	2902	1816	1621	1749	1060	2063	1220
b1762	81	47	45	20	22	22	22	38	12
b1763	43	45	53	36	56	26	32	40	67
b1764	65	92	99	68	93	72	58	53	86
b1765	57	70	80	88	76	81	88	59	97
b1766	110	79	113	90	113	122	92	55	124
b1767	50	63	61	60	65	64	53	51	65
b1768	22	35	38	45	27	40	34	29	43
b1769	4	5	4	6	2	2	10	2	2
b1770	6	15	16	13	13	16	18	12	14
b1771	2	8	1	5	6	10	4	1	6
b1772	1	5	2	3	3	1	5	2	5
b1773	1	8	6	1	1	2	3	4	2
b1774	3	4	2	2	1	2	2	3	1
b1775	2	2	0	5	3	1	1	3	1
b1776	2	4	1	2	2	1	3	2	0
b1777	33	31	31	46	45	23	41	24	27
b1778	66	55	73	106	86	114	145	73	82
b1779	3827	3844	5605	5322	6472	4506	4397	2595	5375
b1780	33	34	63	35	66	47	42	23	45
b1781	20	29	25	50	22	49	23	20	28
b1782	133	146	224	240	302	203	142	97	199
b1783	1067	1156	898	1025	762	619	785	916	654
b1784	232	191	158	218	173	103	211	174	124
b1785	1	2	4	2	3	1	6	2	1
b1786	21	36	26	58	55	53	62	28	44
b1787	29	32	46	54	47	59	49	32	37
b1788	6	7	5	8	6	5	8	8	5
b1789	2	2	5	5	8	6	5	6	5
b1790	10	11	13	6	13	16	9	9	12
b1791	6	15	7	15	14	11	7	7	11
b1792	28	33	26	25	32	22	25	23	26
b1793	7	11	6	5	9	8	3	2	10
b1794	59	65	88	117	85	87	133	60	88
b1795	239	207	196	224	206	182	270	165	181
b1796	2	7	8	7	8	8	10	6	3
b1797	19	18	9	37	33	30	54	41	25
b1798	3	3	9	21	14	28	25	10	21
b1799	24	48	38	15	31	25	20	20	27
b1800	7	17	7	12	4	20	10	7	10
b1801	2	2	2	4	1	2	1	3	2
b1802	2	5	2	3	1	4	1	3	2
b1803	5	9	4	6	12	9	4	6	2
b1804	28	32	29	37	47	25	39	16	30
b1805	51	47	57	77	64	48	47	39	57
b1806	16	25	18	11	21	19	11	14	25
b1807	33	27	31	26	26	16	22	21	26
b1808	23	28	29	21	25	18	25	18	35
b1809	65	65	71	83	119	82	93	42	65
b1810	52	62	34	63	43	38	60	41	32
b1811	18	25	19	34	29	20	19	13	24
b1812	19	21	27	23	34	23	26	21	27
b1813	16	12	9	8	17	14	11	9	14
b1814	28	23	22	20	29	22	27	11	35
b1815	22	17	16	15	19	10	18	20	18
b1816	22	32	45	33	55	43	37	22	45
b1817	383	346	608	329	354	254	240	251	361
b1818	357	322	598	270	368	178	232	225	387
b1819	351	263	527	263	323	151	193	192	315
b1820	7	6	7	7	8	7	12	10	8
b1821	1	3	8	5	2	2	1	0	2
